index,complexity,equation,loss,test_r2,test_mae,test_rmse,test_mse,test_mean_error,test_std_error,score
0,1,59.914062,243.78638,-0.0008456488455812483,12.41362139330269,15.34026472416113,235.32372180734237,0.4459070426789244,15.333782596496915,-0.005845648845581248
1,3,59.910805 - wav_wavelet_coef_std,237.15594,0.029680424407606876,12.224823668739397,15.1045119825412,228.14628223073072,0.42262781535532307,15.098598211768492,0.014680424407606876
2,5,59.910828 - (wav_wavelet_coef_std * 3.8143277),229.22989,0.07300961180214749,11.89582029446723,14.76341802789609,217.9585118664073,0.366301706382808,14.758873091340964,0.04800961180214749
3,6,square(2.9145129 - wav_wavelet_qrs_variability) + 50.416668,228.2463,0.08896033538847614,11.878721051280658,14.635849813325565,214.208099758222,0.4450080336557184,14.629082938045155,0.05896033538847614
4,7,((comp_sig_lzma_ratio - wav_wavelet_coef_mean_abs) / 0.3029697) + 59.91106,225.52307,0.07084996388099629,11.900976563369907,14.780605496512484,218.46629884353507,0.3097096676767257,14.777360344976454,0.03584996388099629
5,8,square(2.9013252 - wav_wavelet_qrs_variability) + (comp_sig_lzma_ratio + 50.49317),224.92958,0.09467474691376454,11.811155247421043,14.589876606203958,212.86449938425753,0.3863396962027188,14.584760574771035,0.05467474691376454
6,9,rr_std_ms + (((comp_sig_lzma_ratio - wav_wavelet_coef_mean_abs) / 0.30442068) + 59.91114),222.74275,0.08458795725479351,11.831310474818727,14.670928896301392,215.2361546803312,0.33661845307504334,14.667066601654899,0.03958795725479351
7,10,square(5.3394723 - wav_wavelet_coef_std) + ((wav_wavelet_coef_min / -0.16610968) - -30.399916),221.7508,0.09572757766117501,11.760205459257294,14.581390628878138,212.6169526719352,0.4207570084246683,14.575318734483877,0.04572757766117501
8,11,(((rr_std_ms + comp_sig_lzma_ratio) - (wav_wavelet_qrs_variability + wav_wavelet_coef_mean_abs)) * 2.086148) - -59.910843,220.23898,0.11152642779294586,11.670362772190238,14.453451137802759,208.90224979285185,0.47613281631431387,14.445606506273126,0.05652642779294586
9,12,(square(wav_wavelet_coef_mean_abs - 4.479686) + ((comp_sig_kolmogorov_estimate - wav_wavelet_coef_min) * 4.191918)) - -38.843777,216.24106,0.10709935396158066,11.662833982550412,14.489415620886575,209.9431650347919,0.42413585716243685,14.483206613504517,0.04709935396158066
10,14,rr_std_ms + ((((comp_sig_kolmogorov_estimate - wav_wavelet_coef_min) * 4.1375594) - -39.32252) + square(wav_wavelet_coef_mean_abs - 4.425869)),214.17204,0.11697506649039924,11.613258626183386,14.409064481272058,207.62113922545598,0.44871705236279075,14.402075969539073,0.04697506649039923
11,15,square(wav_wavelet_coef_mean_abs - 4.036765) + ((((abs(rr_std_ms) + comp_sig_lzma_ratio) - wav_wavelet_coef_min) * 3.3862476) - -40.6041),213.62376,0.13307052230544514,11.475688575738738,14.277138962975034,203.83669696809983,0.42717420146873686,14.27074697308096,0.05807052230544514
12,16,heart_rate_std + (((rr_std_ms + square(4.4103293 - wav_wavelet_coef_mean_abs)) + ((comp_sig_kolmogorov_estimate - wav_wavelet_coef_min) * 4.0948133)) - -39.46075),213.61363,0.11951791963945313,11.583761032958003,14.388302580977436,207.02325116176195,0.4903423054926125,14.379944908976743,0.03951791963945313
13,17,(((comp_sig_lzma_ratio + abs(n_beats + rr_std_ms)) - wav_wavelet_coef_min) * 3.4216719) + (square(wav_wavelet_coef_mean_abs - 4.1498203) - -38.373722),211.46313,0.14538726945009128,11.3587473327199,14.175356191869186,200.94072316636405,0.3984272576134745,14.169755780773167,0.06038726945009128
14,19,(square(wav_wavelet_coef_mean_abs - 3.9618955) + (((comp_sig_lzma_ratio + (abs(rr_std_ms + n_beats) - wav_wavelet_coef_min)) * 3.2338119) - -40.080696)) - wav_wavelet_energy_d4,210.81494,0.14681515475312823,11.358360316895576,14.16350916239995,200.60499179338737,0.39949226836142165,14.157874053716782,0.05181515475312823
15,20,abs(-39.133984 - (((abs((-0.57054645 * rr_mean_ms) + rr_std_ms) + (comp_sig_lzma_ratio - wav_wavelet_coef_min)) * 3.422995) + square(4.1508665 - wav_wavelet_coef_mean_abs))),209.7647,0.15373672368560176,11.331649773145045,14.105940545330363,198.97755866839503,0.3416515798118753,14.101802468706158,0.053736723685601756
16,21,(square(wav_wavelet_coef_mean_abs - 4.369887) + ((abs(n_beats + (rr_std_ms + rr_std_ms)) + ((comp_sig_lzma_ratio - wav_wavelet_coef_min) * 2.5509233)) * 1.6106415)) - -37.606625,209.41174,0.14456468373053533,11.372602326290277,14.182176615108645,201.13413354213452,0.4275352112909108,14.175730922433628,0.03956468373053533
17,23,(square(wav_wavelet_coef_mean_abs - 4.3656883) - comp_rr_hjorth_activity) + (((abs((n_beats + rr_std_ms) + rr_std_ms) + ((comp_sig_lzma_ratio - wav_wavelet_coef_min) * 1.9448048)) * 2.1107907) - -36.960365),208.1982,0.14795123812779432,11.341045322781602,14.154076102534782,200.3378703163462,0.44683185005320064,14.147021298284818,0.03295123812779431
18,25,(square(4.3849316 - wav_wavelet_coef_mean_abs) - (rr_std_ms + comp_rr_hjorth_activity)) + (((abs(rr_std_ms + (rr_std_ms + n_beats)) + ((comp_sig_lzma_ratio - wav_wavelet_coef_min) * 1.57717)) * 2.6198452) - -36.09119),207.53415,0.15127371635300657,11.313729722031592,14.126452951586245,199.55667299337972,0.42014976772644436,14.120203510079419,0.02627371635300657
