Complexity,Loss,Equation
1,0.0090991855,"1.0081196"
3,0.006533949,"1.8570684 - RR_interval_sec"
5,0.00024717103,"(0.3632952 / RR_interval_sec) - -0.5624242"
7,0.00022574472,"(0.5182519 / (RR_interval_sec - -0.1447473)) - -0.47119635"
9,0.00022561412,"(0.59759617 / square(cbrt(RR_interval_sec))) - -0.32647902"
11,0.00022558337,"square(cbrt((-0.3847642 / RR_interval_sec) + -0.10472445) - 0.17318392)"
13,0.0002018606,"square(0.6873886 - (-0.37119398 / ((RR_interval_sec + (-16.26132 / QT_interval_ms)) - -0.39940336)))"
15,0.00020174005,"square(0.68741834 - (-0.37112668 / ((-16.26132 / (QT_interval_ms + RR_interval_sec)) + (RR_interval_sec - -0.39930305))))"
